"","Player","Years","Full_Salary","Avg_Salary","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","X","OWS","DWS","WS","WS.48","X.1","OBPM","DBPM","BPM","VORP"
"1","Aaron Holiday","2",1968175,1968175,"PG",25,"TOT",63,15,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2,0.7,15.4,18.7,NA,0.5,0.9,1.5,0.068,NA,-1.9,0.3,-1.7,0.1
"2","Amir Coffey","2",1.1e+07,3666667,"SG",24,"LAC",69,30,22.7,3.1,6.8,0.453,1.4,3.7,0.378,1.7,3.1,0.542,0.556,1.5,1.7,0.863,0.4,2.5,2.9,1.8,0.6,0.2,0.7,1.3,9,13,0.598,0.545,0.251,1.8,11.2,6.7,11.4,1.2,0.8,8,15.8,NA,2.3,1.5,3.8,0.116,NA,-0.3,0,-0.3,0.7
"3","Andre Drummond","3",6560000,3280000,"C",28,"TOT",73,36,19.7,3.4,5.9,0.57,0,0,0,3.4,5.9,0.574,0.57,1.2,2.2,0.524,3.1,6.2,9.3,1.8,1.1,0.9,1.6,2.6,7.9,21,0.574,0.007,0.379,18,34.1,26.2,13.7,2.7,4.2,18.5,19,NA,2,3.1,5.1,0.17,NA,-0.1,1.4,1.3,1.2
"4","Anfernee Simons","5",1e+08,2.5e+07,"SG",22,"POR",57,30,29.5,6.2,14,0.443,3.1,7.8,0.405,3.1,6.2,0.49,0.555,1.8,2,0.888,0.5,2.2,2.6,3.9,0.5,0.1,2,1.9,17.3,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,NA,2,-0.1,1.9,0.055,NA,1.9,-2.7,-0.7,0.5
"5","Anthony Gill","2",3833328,1916664,"PF",29,"WAS",44,0,10.5,1.4,2.5,0.569,0.3,0.6,0.538,1.1,1.9,0.578,0.633,1,1.2,0.808,0.8,1.2,1.9,0.6,0.1,0.3,0.4,1.3,4.1,14.7,0.682,0.239,0.477,8,12.2,10.2,8.3,0.5,2,12,14.4,NA,1.1,0.2,1.4,0.14,NA,-0.6,-1.3,-1.9,0
"6","Austin Rivers","2",2905851,2905851,"SG",29,"DEN",67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6,7.2,0.546,0.66,0.126,1.5,6.9,4.3,8,1.7,0.4,12.8,12.6,NA,0.1,1.1,1.2,0.037,NA,-3.5,-0.3,-3.8,-0.7
"7","Bismack Biyombo","1",2905851,2905851,"C",29,"PHO",36,3,14.1,2.4,4,0.593,0,0,NA,2.4,4,0.593,0.593,1.1,2,0.535,1.8,2.9,4.6,0.6,0.3,0.7,0.7,1.9,5.8,17.3,0.596,0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,NA,0.9,0.9,1.8,0.17,NA,-1.7,0.4,-1.3,0.1
"8","Bobby Portis","4",48578208,12144552,"C",26,"MIL",72,59,28.2,5.8,12.1,0.479,1.8,4.7,0.393,3.9,7.4,0.533,0.555,1.2,1.6,0.752,2.5,6.6,9.1,1.2,0.7,0.7,1.3,2.4,14.6,17.7,0.571,0.388,0.13,9.6,24.4,17.2,6.4,1.3,2.4,8.9,21.3,NA,2.9,2.6,5.5,0.131,NA,1.2,-1,0.2,1.1
"9","Bol Bol","2",4400000,2200000,"PF",22,"DEN",14,0,5.8,1.1,1.9,0.556,0.1,0.3,0.25,1,1.6,0.609,0.574,0.1,0.4,0.4,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4,13.5,0.565,0.148,0.185,5.7,21.4,13.8,9.1,0.6,2.2,12,18,NA,0,0.1,0.1,0.065,NA,-0.5,-0.4,-1,0
"10","Bradley Beal","4",251019650,50203930,"SG",28,"WAS",40,40,36,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,0.492,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,17.5,0.539,0.272,0.263,3,11.4,7.3,30.8,1.2,0.9,13.6,30.8,NA,0.6,0.7,1.4,0.046,NA,2,-1.2,0.8,1
"11","Bruno Fernando","2",1902133,1902133,"C",23,"TOT",30,0,5.1,1.2,1.8,0.655,0,0.1,0.5,1.2,1.8,0.66,0.664,0.5,0.8,0.625,0.6,1.2,1.8,0.2,0,0.4,0.5,0.8,2.9,21.2,0.671,0.036,0.436,13,26.6,19.8,7.5,0.3,6.5,17.6,22.4,NA,0.2,0.2,0.4,0.14,NA,-0.4,0.2,-0.1,0.1
"12","Bryn Forbes","2",2298385,2298385,"SG",28,"TOT",75,2,17.1,3.1,7.2,0.429,1.6,3.9,0.414,1.5,3.3,0.447,0.542,1.1,1.2,0.908,0.1,1.1,1.2,1,0.3,0.1,0.7,1.3,8.8,11.5,0.574,0.547,0.161,0.9,6.9,3.9,8.3,0.9,0.3,8.8,21.2,NA,0.8,0.6,1.4,0.054,NA,-0.7,-2.2,-2.9,-0.3
"13","Caleb Martin","3",20408850,6802950,"SF",26,"MIA",60,12,22.9,3.5,6.8,0.507,1.1,2.6,0.413,2.4,4.3,0.565,0.585,1.2,1.6,0.763,1.2,2.7,3.8,1.1,1,0.5,0.9,1.7,9.2,14.8,0.611,0.378,0.227,5.9,13,9.5,7,2.1,2.3,10.3,16.3,NA,1.9,2.1,4,0.139,NA,0.1,0.9,1.1,1.1
"14","Chris Boucher","3",35250000,11750000,"PF",29,"TOR",80,9,21.1,3.4,7.2,0.464,0.9,2.9,0.297,2.5,4.4,0.575,0.523,1.9,2.4,0.777,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.4,17.9,0.57,0.397,0.334,10.9,21.3,15.8,2.2,1.4,4.3,6,17.8,NA,3.5,2.4,6,0.169,NA,0.5,-0.4,0,0.9
"15","CJ Elleby","2",1836090,1836090,"SF",21,"POR",58,28,20.2,2.1,5.3,0.393,0.6,2.2,0.294,1.4,3.1,0.462,0.453,1,1.4,0.714,1.1,2.8,3.9,1.5,0.6,0.3,1,2,5.8,9.2,0.491,0.409,0.273,6,15.6,10.6,10.6,1.5,1.6,14,14.8,NA,-0.1,0.5,0.4,0.016,NA,-3.8,-1.5,-5.3,-1
"16","Cody Martin","3",31360000,7840000,"SF",26,"CHO",71,11,26.3,2.9,6,0.482,0.9,2.2,0.384,2,3.7,0.542,0.554,1.1,1.5,0.701,1.2,2.9,4,2.5,1.2,0.5,0.9,1.6,7.7,12.7,0.579,0.376,0.253,4.6,11.7,8.1,12.4,2.3,1.6,11.5,12.1,NA,2.4,1.5,3.9,0.101,NA,-1.2,0.7,-0.5,0.7
"17","Damian Jones","2",4885050,2442525,"C",26,"SAC",56,15,18.2,3.1,4.8,0.658,0.2,0.5,0.345,2.9,4.2,0.696,0.677,1.7,2.3,0.718,1.3,3.1,4.4,1.2,0.5,0.8,1.1,2.3,8.1,18.3,0.701,0.109,0.492,7.9,18.5,13.2,10.2,1.2,4,15.4,16.2,NA,2.4,0.9,3.3,0.156,NA,-0.2,0.5,0.3,0.6
"18","Damion Lee","2",2133278,2133278,"SG",29,"GSW",63,5,19.9,2.7,6.1,0.441,1,3,0.337,1.7,3.1,0.541,0.523,1,1.2,0.88,0.4,2.8,3.2,1,0.6,0.1,0.6,1.5,7.4,10.9,0.561,0.488,0.196,2.4,14.9,8.8,7.1,1.5,0.5,8.4,15.8,NA,0.9,1.8,2.7,0.102,NA,-2.4,0.4,-2,0
"19","Danilo Gallinari","2",13281950,6640975,"PF",33,"ATL",66,18,25.3,3.9,9,0.434,1.7,4.5,0.381,2.2,4.6,0.485,0.528,2.1,2.4,0.904,0.5,4.1,4.7,1.5,0.4,0.2,0.6,1.4,11.7,14.3,0.579,0.492,0.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,NA,2.8,0.8,3.6,0.105,NA,1,-1.2,-0.2,0.8
"20","Danuel House Jr.","3",8415250,4207625,"SF",28,"TOT",42,7,17.3,1.9,4.7,0.404,1,2.8,0.376,0.9,1.9,0.444,0.515,1,1.4,0.759,0.4,2.2,2.6,1,0.5,0.4,0.8,1.2,5.9,10.6,0.555,0.591,0.293,2.8,13.8,8.4,8.4,1.4,2.1,12.9,15.2,NA,0.4,0.7,1,0.068,NA,-1.3,0.2,-1.1,0.2
"21","Davon Reed","2",3968718,1984359,"SG",26,"DEN",48,5,13.9,1.7,3.4,0.503,0.8,1.8,0.43,0.9,1.6,0.587,0.618,0.2,0.3,0.667,0.3,2,2.3,1.1,0.5,0.2,0.3,1.3,4.4,12.2,0.624,0.534,0.093,2.4,15.2,9,10.7,1.8,1.2,8.7,12.1,NA,0.9,0.7,1.6,0.117,NA,-0.6,0.3,-0.3,0.3
"22","Deandre Ayton","4",132929128,33232282,"C",23,"PHO",58,58,29.5,7.6,12,0.634,0.1,0.3,0.368,7.5,11.7,0.642,0.639,1.8,2.4,0.746,2.6,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.2,21.9,0.656,0.027,0.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,NA,4.1,3.1,7.3,0.203,NA,2.2,0.6,2.8,2.1
"23","DeAndre Jordan","3",2905851,2905851,"C",33,"TOT",48,20,13,1.9,3,0.643,0,0,NA,1.9,3,0.643,0.643,0.5,0.8,0.55,1.7,3.8,5.5,0.4,0.3,0.7,0.8,1.5,4.3,17.2,0.641,0,0.28,14.7,31.4,23.1,4.9,0.9,5,18.7,13.9,NA,0.9,1,1.9,0.145,NA,-1.5,0.1,-1.4,0.1
"24","Delon Wright","2",1.6e+07,8e+06,"SG",29,"ATL",77,8,18.9,1.6,3.5,0.454,0.6,1.5,0.379,1,2,0.51,0.535,0.7,0.8,0.857,0.6,2.2,2.9,2.4,1.2,0.2,0.6,0.7,4.4,13.8,0.576,0.431,0.234,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3,NA,2.2,1.5,3.6,0.121,NA,-0.2,2.4,2.2,1.6
"25","Derrick Jones Jr.","2",6560000,3280000,"PF",24,"CHI",51,8,17.6,2.1,3.8,0.538,0.4,1.2,0.328,1.7,2.6,0.634,0.59,1.1,1.4,0.8,1.2,2.1,3.3,0.6,0.5,0.6,0.6,2.1,5.6,13,0.633,0.313,0.359,7.6,13.6,10.6,4.4,1.4,3.2,11.7,12.5,NA,1.4,0.8,2.2,0.119,NA,-1.5,0.5,-0.9,0.2
"26","Dewayne Dedmon","3",9024000,4512000,"C",32,"MIA",67,15,15.9,2.4,4.3,0.566,0.3,0.7,0.404,2.2,3.6,0.597,0.598,1.1,1.5,0.75,1.6,4.2,5.8,0.7,0.4,0.6,1,2.6,6.3,15.9,0.632,0.162,0.345,11.4,29.4,20.6,6.7,1.1,4.2,17.3,16.9,NA,1.5,2,3.5,0.157,NA,-2.2,1.1,-1,0.3
"27","Donte DiVincenzo","2",9225000,4612500,"SG",25,"TOT",42,1,24,2.8,8,0.351,1.8,5.2,0.339,1,2.8,0.373,0.461,1.7,2,0.843,1,3.1,4,2.8,1.1,0.2,1.7,1.6,9,11.3,0.51,0.649,0.247,4.3,14,9.1,16.1,2.3,0.7,16.2,18.9,NA,-0.1,0.9,0.7,0.035,NA,-1.8,-0.5,-2.3,-0.1
"28","Drew Eubanks","2",1968175,1968175,"C",24,"TOT",71,31,17.5,3.1,5.2,0.596,0.1,0.3,0.217,3,4.9,0.621,0.602,1.4,1.8,0.762,1.8,3.5,5.4,1.2,0.4,0.6,1.1,1.7,7.7,18,0.638,0.062,0.35,11,22.2,16.5,10.1,1.2,2.8,15.9,17.5,NA,2.2,1.1,3.4,0.13,NA,-0.5,-0.9,-1.4,0.2
"29","Frank Kaminsky","1",2463490,2463490,"C",28,"PHO",9,0,20.1,4,7.3,0.545,0.6,1.7,0.333,3.4,5.7,0.608,0.583,2,2.2,0.9,1.2,3.3,4.6,1.4,0.9,0.8,0.6,1.6,10.6,21.3,0.635,0.227,0.303,6.7,17.3,12.1,10.1,2.1,3.4,6.3,19,NA,0.5,0.3,0.9,0.228,NA,2.4,2.5,4.9,0.3
"30","Gary Payton II","4",26145000,8715000,"SG",29,"GSW",71,16,17.6,3,4.8,0.616,0.6,1.7,0.358,2.4,3.2,0.754,0.679,0.5,0.8,0.603,1,2.5,3.5,0.9,1.4,0.3,0.6,1.8,7.1,17.8,0.679,0.349,0.169,6.5,14.9,10.8,7.6,3.8,1.7,9.8,14.3,NA,2.5,2.6,5.2,0.199,NA,0.3,3.4,3.7,1.8
"31","Isaiah Hartenstein","3",18100000,8e+06,"C",23,"LAC",68,0,17.9,3.4,5.4,0.626,0.2,0.4,0.467,3.2,4.9,0.64,0.645,1.3,1.9,0.689,1.7,3.2,4.9,2.4,0.7,1.1,1.2,2.5,8.3,22,0.664,0.082,0.361,10.5,18.2,14.5,20.5,2,5.4,16.5,18.4,NA,3.3,2.2,5.5,0.215,NA,1.4,3.1,4.5,2
"32","Jalen Brunson","5",1.04e+08,2.6e+07,"SG",25,"DAL",79,61,31.9,6.4,12.8,0.502,1.2,3.2,0.373,5.2,9.6,0.545,0.549,2.3,2.7,0.84,0.5,3.4,3.9,4.8,0.8,0,1.6,1.9,16.3,17.1,0.583,0.25,0.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,NA,4.9,2.7,7.5,0.143,NA,0.9,0,0.9,1.9
"33","Jalen Smith","3",15131319,5043773,"PF",21,"TOT",51,8,18.1,3.5,6.9,0.503,0.8,2.4,0.328,2.7,4.5,0.596,0.56,1.5,2,0.765,2,4,6,0.5,0.3,0.8,0.8,1.9,9.2,18.4,0.595,0.349,0.291,12,24.5,18.2,3.9,0.8,3.9,9.6,20.3,NA,1.7,1.1,2.8,0.145,NA,0.9,-1.4,-0.5,0.3
"34","James Harden","3",68600000,34300000,"PG",32,"TOT",65,65,37.2,6.3,15.3,0.41,2.3,6.9,0.33,4,8.4,0.476,0.485,7.2,8.2,0.877,0.8,6.8,7.7,10.3,1.3,0.6,4.4,2.4,22,20.9,0.583,0.452,0.54,2.6,19.7,11.3,40.3,1.7,1.3,18.8,27.2,NA,4.9,2.7,7.6,0.152,NA,3.7,0.3,4,3.7
"35","JaMychal Green","2",2628597,2628597,"PF",31,"DEN",67,8,16.2,2.4,4.9,0.486,0.5,1.9,0.266,1.9,3,0.621,0.537,1.2,1.4,0.871,1.2,3,4.2,0.9,0.6,0.4,0.9,2.4,6.4,14.1,0.587,0.379,0.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,NA,1.2,1.4,2.7,0.118,NA,-2,0.1,-1.8,0
"36","JaVale McGee","3",17202840,5734280,"C",34,"PHO",74,17,15.8,3.9,6.2,0.629,0,0.1,0.222,3.9,6.1,0.637,0.631,1.4,2,0.699,2.2,4.5,6.7,0.6,0.3,1.1,1.3,2.4,9.2,22.6,0.651,0.02,0.319,15.3,29.7,22.7,5.4,0.9,6.1,15.8,22.8,NA,2.4,2.6,4.9,0.201,NA,-0.1,0.9,0.8,0.8
"37","Jay Scrubb","2",1836090,1836090,"SG",21,"LAC",18,0,6.7,1,2.6,0.391,0.3,1.2,0.286,0.7,1.4,0.48,0.457,0.4,0.6,0.7,0.1,0.8,0.9,0.4,0.2,0.2,0.4,0.5,2.7,9.3,0.486,0.457,0.217,1.8,11.9,7,9.7,1.6,2.1,12.2,20.8,NA,-0.1,0.1,0,0.002,NA,-4.4,-0.4,-4.8,-0.1
"38","Jericho Sims","2",5658206,1886069,"PF",23,"NYK",41,5,13.5,1,1.3,0.722,0,0,NA,1,1.3,0.722,0.722,0.3,0.7,0.414,1.5,2.6,4.1,0.5,0.3,0.5,0.5,1.6,2.2,11.6,0.674,0,0.537,11.6,21.3,16.4,5.3,1,3.9,23.1,6.9,NA,0.7,0.8,1.5,0.128,NA,-2.8,1.1,-1.7,0
